"id","registrationDate","productionDate","title","price","mileage","power"
"6109553695","03/08/2015","2015","Mercedes-Benz Actros MP4","183270","704 000 km","430 KM"
"6108619717","02/01/2018","2017","Mercedes-Benz ACTROS","63960","478 554 km","420 KM"
"6108922109","27/05/2017","2017","Mercedes-Benz ACTROS 2645 LS","131608","81 000 km","450 KM"
"6094303820","","2014","Mercedes-Benz ACTROS 1845 2014/15_EURO 6_SERWISOWANY_ZADBANY","99900","1 050 000 km","450 KM"
"6109715205","","2017","Mercedes-Benz Actros 1845 Super Stan /ACC /Klimatyzacja Postojowa","169000","690 000 km","450 KM"
"6108545516","","2016","Mercedes-Benz ACTROS","153000","650 000 km",""
"6108379825","","2015","Mercedes-Benz Actros","29500","740 000 km",""
"6108099333","","2017","Mercedes-Benz ACTROS 1845","36500","747 000 km",""
"6107377052","","2018","Mercedes-Benz Actros 1848 Giga Space bez retardera","282000","481 000 km","480 KM"
"6103061672","22/09/2015","2015","Mercedes-Benz ACTROS -MP4-1843-430km-BIG-SPACE-AUTOMAT-EURO 6","170970","598 000 km","430 KM"
"6109691600","","2015","Mercedes-Benz ACTROS 1845 // PEŁNY ADR //","139900","640 000 km","450 KM"
"6109032546","16/02/2015","2014","Mercedes-Benz ACTROS","109900","803 369 km","420 KM"
"6106499981","","2018","Mercedes-Benz Actros MP4 / Klima Postojowa / Xenon / ACC / Poduszki Kabina / Dostępne 3 szt","314000","424 000 km","450 KM"
"6109680223","17/02/2016","2016","Mercedes-Benz ACTROS 1845","127500","823 044 km","450 KM"
"6109678331","08/02/2017","2017","Mercedes-Benz 1845","36900","749 000 km",""
"6107165206","13/09/2016","2016","Mercedes-Benz Actros 1845","137999","845 000 km","450 KM"
"6109672228","","2017","Mercedes-Benz Actros","282900","430 894 km","450 KM"
"6109659974","","2014","Mercedes-Benz Actros 1848","135268","860 000 km",""
"6100503828","","2014","Mercedes-Benz ACTROS MP4","99000","725 000 km","450 KM"
"6108793617","","2019","Mercedes-Benz Actros 1845 LS","81180","369 000 km","450 KM"
"6109631462","08/05/2014","2014","Mercedes-Benz ACTROS 450 MP4 / MEGA","110000","706 300 km","450 KM"
"6109631413","12/11/2019","2019","Mercedes-Benz ACTROS 480 MP4 / 2019","350000","243 000 km","480 KM"
"6104951716","","2018","Mercedes-Benz Actros MP4 / Salonka / Klima Postojowa / Xenon / ACC / Giga Space","318000","450 000 km","450 KM"
"6107162610","25/01/2021","2021","Mercedes-Benz ACTROS","86690","220 000 km","440 KM"
"6106475723","30/10/2018","2018","Mercedes-Benz Actros","276750","760 000 km","475 KM"
"6109373911","","2017","Mercedes-Benz Actros 1845 GIGA / Klima postojowa / Salonka / Xenon / ACC / Full Opcja","235000","607 000 km","450 KM"
"6108953093","","2023","Mercedes-Benz ACTROS 1845 LS Fabrycznie nowy!!!!","147600","1 km","450 KM"
"6109571354","07/10/2014","2014","Mercedes-Benz ACTROS 1845 MEGA LOW DECK BIG SPACE","109900","800 000 km","450 KM"
"6109513684","21/08/2016","2016","Mercedes-Benz ACTROS","166050","870 000 km","450 KM"
"6107827853","","2017","Mercedes-Benz Actros 1845 / Klima. Postojowa / Xenon / 390 tyś km !!!","277000","394 000 km","450 KM"
"6107238389","","2019","Mercedes-Benz Actros 1848LSnRL","72570","567 000 km","480 KM"
"6109325142","","2018","Mercedes-Benz Actros 1848 Retarder / ADR","44900","438 505 km","480 KM"
"6106866916","","2015","Mercedes-Benz ACTROS ADR EURO6 2015ROK ZAMIANA","119000","769 700 km","420 KM"
"6109130054","05/06/2014","2014","Mercedes-Benz ACTROS","89900","1 080 000 km","450 KM"
"6104295091","","2015","Mercedes-Benz Actros 1843*Euro 6*2015*Retarder*1 zbiornik","41451","382 000 km","430 KM"
"6101541744","14/01/2017","2017","Mercedes-Benz ACTROS 1846 Ciągnik siodłowy * STAN BDB","209000","653 000 km","460 KM"
"6104727174","","2016","Mercedes-Benz Actros 1845 Standard Big Space","129900","760 000 km","450 KM"
"6109731790","01/01/2016","2016","Mercedes-Benz","31000","690 000 km","450 KM"
"6105898577","06/06/2014","2014","Mercedes-Benz ACTROS","121770","1 000 500 km","450 KM"
"6102541283","02/03/2017","2017","Mercedes-Benz Actros 1845 E6","226320","675 000 km","450 KM"
"6109559610","11/03/2023","2019","Mercedes-Benz aActros LS450","94710","307 500 km","450 KM"
"6107078883","10/05/2017","2017","Mercedes-Benz ACTROS","189900","419 000 km","450 KM"
"6109042356","11/05/2016","2016","Mercedes-Benz Actros 1845 standard","106000","940 000 km","450 KM"
"6105393974","","2021","Mercedes-Benz Actros","503070","194 000 km","480 KM"
"6109333958","05/10/2018","2018","Mercedes-Benz Actros 1845/BigSpace/Salon polska/Stan idealny","265000","505 000 km","450 KM"
"6103378680","26/03/2018","2018","Mercedes-Benz Actros 1845 LS * Nowe Opony! *","298999","457 657 km","450 KM"
"6107827549","16/07/2018","2018","Mercedes-Benz Actros 1845 LS * BigSpace* Zbiorniki 1300l *","299000","554 705 km","450 KM"
"6103376360","15/02/2018","2018","Mercedes-Benz Actros 1848 LS * Import DE * Po kontrakcie *","288329","543 727 km","480 KM"
"6109332226","","2016","Mercedes-Benz ACTROS 1845 / EURO 6 / LOW DECK / ACC / ZADBANY /","169000","550 000 km","450 KM"
"6104234033","04/10/2017","2017","Mercedes-Benz Actros 1845 low deck mega Polecamy","196900","696 000 km","450 KM"
"6108261729","17/11/2020","2020","Mercedes-Benz Actros","87330","143 000 km","460 KM"
"6109414026","13/10/2015","2015","Mercedes-Benz Actros 1845 super stan","120000","922 000 km","450 KM"
"6108928498","22/08/2019","2018","Mercedes-Benz Actros 1848","58900","403 000 km","480 KM"
"6107563630","13/08/2018","2018","Mercedes-Benz ACTROS","239900","744 013 km","480 KM"
"6108927439","","2014","Mercedes-Benz ACTROS 1845","110085","1 021 016 km","450 KM"
"6105693260","","2014","Mercedes-Benz Actros 1845 Bigspace","22900","952 661 km","450 KM"
"6108129961","11/02/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS","105411","268 496 km","450 KM"
"6106789221","26/02/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS","104673","294 021 km","450 KM"
"6108924955","","2014","Mercedes-Benz ACTROS  MP4 / RETARDER / EURO 6 / 2014 / STREAM SPACE/ AUTOMAT/ STANDARD/ ZADBANY / FULL OPCJA / OKAZJA","117000","899 000 km","420 KM"
"6102726925","","2017","Mercedes-Benz Actros 1845","289037","522 657 km","440 KM"
"6105688658","","2018","Mercedes-Benz Actros 1845 Bigspace Lowdeck","57900","348 323 km","450 KM"
"6108252889","02/08/2021","2021","Mercedes-Benz Actros 1845 LS","110577","161 280 km","450 KM"
"6109324730","","2023","Mercedes-Benz ACTROS MP5 1845LS","141450","2 km","449 KM"
"6107888254","","2016","Mercedes-Benz Actors 1845 Mega","164000","720 000 km","450 KM"
"6105630639","20/03/2015","2015","Mercedes-Benz ACTROS 1845 / EURO 6 / Z FRANCJI / MEGA SPACE / STAN BDB / / /","109900","704 000 km","450 KM"
"6108912855","11/01/2018","2018","Mercedes-Benz ACTROS  bez retardera","55500","480 000 km","450 KM"
"6106850208","","2016","Mercedes-Benz ACTROS","170970","669 000 km","450 KM"
"6102437081","","2015","Mercedes-Benz 1848","145000","785 648 km",""
"6109093679","02/07/2018","2018","Mercedes-Benz ACTROS 1848 / HYDRAULIKA / PEŁNY ADR / MAŁY PRZEBIEG / EURO 6 /","236000","339 000 km","480 KM"
"6108915904","","2017","Mercedes-Benz ACTROS 1845 / EURO 6 / LOW DECK / ACC /","209000","440 000 km","450 KM"
"6109051921","","2017","Mercedes-Benz Actros 1845","261990","534 000 km","450 KM"
"6109721904","02/02/2015","2014","Mercedes-Benz Actros 1845","185730","477 500 km","450 KM"
"6109319257","","2017","Mercedes-Benz Actros 1845","161000","600 000 km",""
"6102839870","01/07/2019","2019","Mercedes-Benz Actros","332100","408 035 km","480 KM"
"6109495499","","2018","Mercedes-Benz Actros 1848 Retarder / z Francji / Standart","47900","564 928 km","480 KM"
"6106885355","16/05/2018","2018","Mercedes-Benz ACTROS 1853 GIGASPACE XENON I-COOL SALONKA NAVI FULL OPCJA!! UNIKAT!!!","309000","434 000 km","530 KM"
"6107504614","22/09/2016","2016","Mercedes-Benz ACTROS 1843 Euro 6 ADR","23150","1 033 186 km","430 KM"
"6108910674","","2018","Mercedes-Benz Actros","316725","549 000 km","450 KM"
"6105586517","","2018","Mercedes-Benz Actros 1845 Bigspace Lowdeck","54900","413 517 km","450 KM"
"6105583776","","2018","Mercedes-Benz Actros 1845 Bigspace Lowdeck","54900","429 794 km","450 KM"
"6105453616","","2014","Mercedes-Benz ACTROS","113160","1 087 000 km","450 KM"
"6108225651","24/07/2015","2015","Mercedes-Benz Actros / 1845 / Low Deck / Jak Nowy !","99800","987 800 km","450 KM"
"6109388436","23/08/2018","2018","Mercedes-Benz","60000","530 000 km","480 KM"
"6109316002","25/09/2014","2014","Mercedes-Benz 1845","109900","862 600 km","450 KM"
"6105586951","25/08/2016","2016","Mercedes-Benz ACTROS 1845 AUTOMAT RETARDER * 2016 *","27900","847 000 km","450 KM"
"6109667481","30/10/2018","2018","Mercedes-Benz","57000","555 000 km","480 KM"
"6109667390","12/07/2017","2017","Mercedes-Benz","49900","500 000 km","450 KM"
"6098426513","","2015","Mercedes-Benz Actros 1843","31000","559 151 km","430 KM"
"6108998484","23/05/2018","2015","Mercedes-Benz ACTROS","130000","659 566 km","315 KM"
"6107941755","25/02/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace, MCT","105903","250 447 km","450 KM"
"6101407853","","2019","Mercedes-Benz Actros","95878","295 600 km",""
"6109475716","14/04/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS","104550","300 465 km","450 KM"
"6099583920","","2018","Mercedes-Benz Actros 1845 Bigspace Lowdeck","57900","384 026 km","450 KM"
"6108665363","28/01/2019","2019","Mercedes-Benz Actros 1845 LS 4x2 BigSpace","73923","597 398 km","450 KM"
"6108623628","01/02/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace SEP MCT","105411","266 823 km","450 KM"
"6100522373","11/01/2016","2015","Mercedes-Benz Actros 1842LS","145017","785 000 km","420 KM"
"6100522373","11/01/2016","2015","Mercedes-Benz Actros 1842LS","145017","785 000 km","420 KM"
"6108901765","23/07/2015","2015","Mercedes-Benz Actros 1851 z Niemiec","168510","707 000 km","510 KM"
"6106908335","17/06/2015","2015","Mercedes-Benz Actros","104000","950 700 km","450 KM"
"6097436905","10/11/2016","2016","Mercedes-Benz ACTROS","186960","686 807 km","450 KM"
"6103136499","","2014","Mercedes-Benz","107010","923 000 km","450 KM"
"6108900045","","2019","Mercedes-Benz Actros 1848_Standard_Bez Retardera","252000","470 000 km","450 KM"
"6109670533","","2014","Mercedes-Benz Actros","129150","860 000 km",""
"6109071157","01/09/2015","2015","Mercedes-Benz ACTROS / MP4 / 1843 /  LOW DECK","158670","840 689 km","430 KM"
"6104667313","29/03/2019","2019","Mercedes-Benz Actros 1845 LSnRL","90405","444 000 km","450 KM"
"6098418155","","2019","Mercedes-Benz Actros 1845 Bigspace Lowdeck","54900","463 249 km","450 KM"
"6103201128","15/11/2017","2017","Mercedes-Benz Actros 1845","276750","564 000 km","450 KM"
"6102640453","","2015","Mercedes-Benz ACTROS 1845","164807","732 713 km","440 KM"
"6108663430","16/08/2016","2016","Mercedes-Benz ACTROS","301350","407 691 km","450 KM"
"6109359822","","2015","Mercedes-Benz ACTROS 1842","29397","1 149 000 km","420 KM"
"6109711046","01/03/2015","2015","Mercedes-Benz Actros 1845 semi low deck standard","132840","796 706 km","450 KM"
"6109358985","","2014","Mercedes-Benz Actros","109000","842 000 km","450 KM"
"6109357395","","2016","Mercedes-Benz Actros 1845 Standard BIG SPACE Euro6 MP4","130000","910 000 km",""
"6108609201","","2022","Mercedes-Benz Mercedes-Benz Actros L 1845 LOW DECK","129150","25 km","450 KM"
"6105802253","","2016","Mercedes-Benz ACTROS 1845","43542","899 000 km","450 KM"
"6108880624","09/10/2018","2018","Mercedes-Benz ACTROS  bez retardera","54800","520 000 km","450 KM"
"6101052842","01/07/2017","2017","Mercedes-Benz","39900","620 000 km",""
"6109448889","","2016","Mercedes-Benz ACTROS","28905","499 000 km",""
"6103601055","","2016","Mercedes-Benz Actros 1842","119000","970 000 km","420 KM"
"6109702309","","2019","Mercedes-Benz ACTROS","284900","508 729 km","450 KM"
"6109702083","28/05/2014","2014","Mercedes-Benz Actros","99000","737 000 km","430 KM"
"6109701324","","2018","Mercedes-Benz ACTROS","249900","547 163 km","450 KM"
"6106948468","10/07/2017","2017","Mercedes-Benz ACTROS 1845 EURO6 StreamSpace LowDeck MEGA","34900","644 167 km","450 KM"
"6099545576","30/01/2015","2015","Mercedes-Benz Actros 1842","116850","1 160 000 km","420 KM"
"6105557606","01/03/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS","104550","279 568 km","450 KM"
"6109338694","20/07/2018","2018","Mercedes-Benz Actros 1845 LS ,","58425","665 176 km","450 KM"
"6109338514","13/07/2018","2018","Mercedes-Benz Actros 1845 LS ,","59655","530 616 km","450 KM"
"6105242662","07/05/2018","2018","Mercedes-Benz Actros MP5","238620","794 000 km","450 KM"
"6109239609","","2016","Mercedes-Benz ACTROS 1843","123900","814 650 km","430 KM"
"6108761129","","2014","Mercedes-Benz 18.45","109800","986 000 km","450 KM"
"6109693317","","2015","Mercedes-Benz actros Mp4","146370","900 800 km","450 KM"
"6107932957","","2017","Mercedes-Benz ACTROS 1845","245877","617 247 km","449 KM"
"6107932733","","2017","Mercedes-Benz ACTROS","245754","595 974 km","4 469 KM"
"6109037661","","2016","Mercedes-Benz ACTROS 1845 / BigSpace / Standard / Bez Retardera","202950","564 000 km","450 KM"
"6100762363","17/06/2014","2014","Mercedes-Benz Actros","99507","944 000 km","450 KM"
"6109036556","07/10/2014","2014","Mercedes-Benz ACTROS 1845 Mega/Low Deck BIG SPACE","107000","900 000 km","450 KM"
"6107902700","24/11/2015","2015","Mercedes-Benz ACTROS 1845 STREM SPACE","149999","699 000 km","450 KM"
"6107237629","16/12/2015","2015","Mercedes-Benz ACTROS","150000","700 000 km",""
"6104581263","06/12/2018","2018","Mercedes-Benz ACTROS 1845 LSnRL / BIG SPACE / LOW DECK / MEGA","245000","410 000 km","450 KM"
"6109688237","13/04/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace  CPS","105165","301 600 km","450 KM"
"6104088198","27/11/2014","2014","Mercedes-Benz Actros 1842","121770","859 341 km","420 KM"
"6099898910","","2015","Mercedes-Benz ACTROS 1945","202827","572 520 km","448 KM"
"6108854973","09/03/2016","2016","Mercedes-Benz ACTROS 1845 / BIG SPACE / EURO 6 /","139900","936 000 km","450 KM"
